,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
182,186,178,Plaza de Daoíz y Velarde,40.4017222,-3.6783055,2,Arganzuela,13,Atocha,3,S,3,S
183,187,179,Avda. Albufera 6 con Antonia Calas ,40.3979722,-3.66925,13,Puente de Vallecas,81,San Diego,2,E,2,E
184,188,180,"Retama, 5",40.3941388,-3.6758888,2,Arganzuela,13,Atocha,3,S,3,S
185,189,181,"Ibiza, 18",40.41825,-3.6766111000000006,3,Retiro,17,Ibiza,2,E,2,E
186,190,182,"Sainz de Baranda, frente al nº 107",40.4186666,-3.6657777,3,Retiro,16,Estrella,2,E,2,E
187,191,183,"Hermosilla, 135",40.425635,-3.669339,4,Salamanca,21,Goya,2,E,2,E
188,192,184,"Pº Marqués de Zafra, 24",40.426,-3.6653055,4,Salamanca,22,Fuente del Berro,2,E,2,E
189,193,185,Sancho Dávila esq. Pº Marqués de Zafra,40.4250833,-3.6615277,4,Salamanca,22,Fuente del Berro,2,E,2,E
190,194,186,"General Pardiñas, 56",40.4290555,-3.6782777,4,Salamanca,21,Goya,2,E,2,E
191,195,187,"Alejandro González, 1",40.4301666,-3.6638888,4,Salamanca,22,Fuente del Berro,2,E,2,E
192,196,188,"Avda. Daroca, 2",40.431194399999995,-3.6590555,15,Ciudad Lineal,92,Ventas,2,E,2,E
193,197,189,Virgen de la Alegria 18,40.4350277,-3.6555277000000004,15,Ciudad Lineal,95,Concepción,2,E,2,E
194,198,190,"Velázquez, 91",40.4343333,-3.6835833,4,Salamanca,25,Castellana,2,E,2,E
195,199,191,"Alonso Heredia, 1",40.434638799999995,-3.674,4,Salamanca,24,Lista,2,E,2,E
196,200,192,"Avda. Toreros,3",40.431861100000006,-3.6714165999999997,4,Salamanca,24,Lista,2,E,2,E
197,201,193,"Avda. Toreros, 49",40.4324722,-3.6655555,4,Salamanca,23,Guindalera,2,E,2,E
198,202,194,Francisco Silvela 86,40.43725,-3.6772222,4,Salamanca,24,Lista,2,E,2,E
199,203,195,"Padre Indalecio Hernandez, 1",40.4392222,-3.6754443999999995,5,Chamartin,27,Prosperidad,2,E,2,E
200,204,196,"Suero de Quiñones, 2",40.4441388,-3.6751388,5,Chamartin,28,Ciudad Jardín,1,N,1,N
201,205,197,"Avenida Concha Espina, 34 ",40.451583299999996,-3.6780555,5,Chamartin,26,El Viso,1,N,1,N
202,206,198,Gta. Rubén Darío 2,40.433111100000005,-3.6915555,7,Chamberi,41,Almagro,1,N,1,N
203,207,199,"Fernando el Católico, 61",40.434361100000004,-3.7149165999999996,7,Chamberi,38,Gaztambide,0,O,0,O
204,208,200,"Gta. Quevedo, 5",40.43369439999999,-3.7046666,7,Chamberi,39,Arapiles,0,O,0,O
